freq_GHz,S21_real,S21_imag,S21_mag,S31_real,S31_imag,S31_mag
1.661753353400000188e+00,-1.879401617699999960e+01,0.000000000000000000e+00,1.879401617699999960e+01,-1.641981097600000084e+01,0.000000000000000000e+00,1.641981097600000084e+01
1.681773273299999927e+00,-1.858064207500000009e+01,0.000000000000000000e+00,1.858064207500000009e+01,-1.618962207699999922e+01,0.000000000000000000e+00,1.618962207699999922e+01
1.701793193200000109e+00,-1.866384437700000021e+01,0.000000000000000000e+00,1.866384437700000021e+01,-1.616673368700000069e+01,0.000000000000000000e+00,1.616673368700000069e+01
1.721813113099999848e+00,-1.933161387699999878e+01,0.000000000000000000e+00,1.933161387699999878e+01,-1.522772125600000059e+01,0.000000000000000000e+00,1.522772125600000059e+01
1.741833033000000031e+00,-1.975883845099999903e+01,0.000000000000000000e+00,1.975883845099999903e+01,-1.506988915200000001e+01,0.000000000000000000e+00,1.506988915200000001e+01
1.761852952999999999e+00,-2.026083743599999920e+01,0.000000000000000000e+00,2.026083743599999920e+01,-1.491723052400000071e+01,0.000000000000000000e+00,1.491723052400000071e+01
1.781872872900000182e+00,-2.021531490499999961e+01,0.000000000000000000e+00,2.021531490499999961e+01,-1.433070267199999925e+01,0.000000000000000000e+00,1.433070267199999925e+01
1.801892792799999921e+00,-1.856261873100000059e+01,0.000000000000000000e+00,1.856261873100000059e+01,-1.358029183600000067e+01,0.000000000000000000e+00,1.358029183600000067e+01
1.821912712700000103e+00,-1.866516988900000129e+01,0.000000000000000000e+00,1.866516988900000129e+01,-1.303342464400000011e+01,0.000000000000000000e+00,1.303342464400000011e+01
1.841932632599999842e+00,-1.820006031300000160e+01,0.000000000000000000e+00,1.820006031300000160e+01,-1.259835796399999985e+01,0.000000000000000000e+00,1.259835796399999985e+01
1.861952552599999811e+00,-1.749443046700000082e+01,0.000000000000000000e+00,1.749443046700000082e+01,-1.255751663700000087e+01,0.000000000000000000e+00,1.255751663700000087e+01
1.881972472499999993e+00,-1.650818330099999898e+01,0.000000000000000000e+00,1.650818330099999898e+01,-1.261362755999999941e+01,0.000000000000000000e+00,1.261362755999999941e+01
1.901992392400000176e+00,-1.620924583200000058e+01,0.000000000000000000e+00,1.620924583200000058e+01,-1.302099987699999950e+01,0.000000000000000000e+00,1.302099987699999950e+01
1.922012312299999914e+00,-1.554220730199999956e+01,0.000000000000000000e+00,1.554220730199999956e+01,-1.302363650600000078e+01,0.000000000000000000e+00,1.302363650600000078e+01
1.942032232200000097e+00,-1.502197610700000041e+01,0.000000000000000000e+00,1.502197610700000041e+01,-1.308238579300000026e+01,0.000000000000000000e+00,1.308238579300000026e+01
1.962052152200000066e+00,-1.484861706899999945e+01,0.000000000000000000e+00,1.484861706899999945e+01,-1.330306665400000021e+01,0.000000000000000000e+00,1.330306665400000021e+01
1.982072072099999804e+00,-1.448605911499999976e+01,0.000000000000000000e+00,1.448605911499999976e+01,-1.334822281699999991e+01,0.000000000000000000e+00,1.334822281699999991e+01
2.002091991999999987e+00,-1.434944220899999934e+01,0.000000000000000000e+00,1.434944220899999934e+01,-1.350975085900000039e+01,0.000000000000000000e+00,1.350975085900000039e+01
2.022111911900000170e+00,-1.389425333299999998e+01,0.000000000000000000e+00,1.389425333299999998e+01,-1.338559156500000036e+01,0.000000000000000000e+00,1.338559156500000036e+01
2.042131831799999908e+00,-1.406681602299999945e+01,0.000000000000000000e+00,1.406681602299999945e+01,-1.346507039599999977e+01,0.000000000000000000e+00,1.346507039599999977e+01
2.062151751800000099e+00,-1.438668238099999996e+01,0.000000000000000000e+00,1.438668238099999996e+01,-1.368444653000000066e+01,0.000000000000000000e+00,1.368444653000000066e+01
2.082171671699999838e+00,-1.445306494699999966e+01,0.000000000000000000e+00,1.445306494699999966e+01,-1.330567986500000011e+01,0.000000000000000000e+00,1.330567986500000011e+01
